 -0.6460352      -30.00000      -30.00000      -30.00000      0.0000000E+00	87236.00      0.0000000E+00
 -0.5401654      -8.345196      -9.172750      -8.077730      0.0000000E+00	90341.00      0.0000000E+00
 -0.4342957      -7.700544      -7.804764      -7.616557      0.0000000E+00	88434.00      0.0000000E+00
 -0.3284260      -8.095467      -8.475101      -7.896046      0.0000000E+00	80239.00      0.0000000E+00
 -0.2225563      -7.932334      -8.187984      -7.772488      0.0000000E+00	70103.00      0.0000000E+00
 -0.1166866      -7.513123      -7.603879      -7.438093      0.0000000E+00	59639.00      0.0000000E+00
 -1.0816833E-02  -7.378780      -7.450039      -7.317582      0.0000000E+00	48835.00      0.0000000E+00
  9.5052876E-02  -7.489891      -7.592798      -7.406756      0.0000000E+00	38312.00      0.0000000E+00
  0.2009226      -6.936032      -6.965202      -6.908699      0.0000000E+00	31333.00      0.0000000E+00
  0.3067923      -6.883869      -6.911815      -6.857614      0.0000000E+00	23654.00      0.0000000E+00
  0.4126620      -6.945123      -6.978894      -6.913789      0.0000000E+00	16907.00      0.0000000E+00
  0.5185317      -6.969351      -7.007014      -6.934696      0.0000000E+00	11762.00      0.0000000E+00
  0.6244015      -6.995213      -7.037021      -6.957078      0.0000000E+00	8057.000      0.0000000E+00
  0.7302712      -7.106724      -7.164069      -7.056076      0.0000000E+00	5330.000      0.0000000E+00
  0.8361409      -7.220657      -7.300037      -7.153568      0.0000000E+00	3553.000      0.0000000E+00
  0.9420106      -7.596333      -7.819203      -7.449768      0.0000000E+00	2274.000      0.0000000E+00
   1.047880      -7.850229      -8.450764      -7.607409      0.0000000E+00	1506.000      0.0000000E+00
   1.153750      -30.00000      -30.00000      -30.00000      0.0000000E+00	975.0000      0.0000000E+00
   1.259620      -8.039382      -30.00000      -30.00000      0.0000000E+00	688.0000      0.0000000E+00
   1.365489      -30.00000      -30.00000      -30.00000      0.0000000E+00	440.0000      0.0000000E+00
   1.471359      -8.408778      -30.00000      -30.00000      0.0000000E+00	321.0000      0.0000000E+00
   1.577229      -8.037225      -30.00000      -30.00000      0.0000000E+00	228.0000      0.0000000E+00
   1.683099      -30.00000      -30.00000      -30.00000      0.0000000E+00	149.0000      0.0000000E+00
   1.788968      -30.00000      -30.00000      -30.00000      0.0000000E+00	96.00000      0.0000000E+00
   1.894838      -30.00000      -30.00000      -30.00000      0.0000000E+00	71.00000      0.0000000E+00
   2.000708      -30.00000      -30.00000      -30.00000      0.0000000E+00	50.00000      0.0000000E+00
   2.106577      -7.277325      -7.534554      -7.116873      0.0000000E+00	52.00000      0.0000000E+00
   2.212447      -30.00000      -30.00000      -30.00000      0.0000000E+00	19.00000      0.0000000E+00
   2.318317      -30.00000      -30.00000      -30.00000      0.0000000E+00	17.00000      0.0000000E+00
   2.424187      -30.00000      -30.00000      -30.00000      1.0439792E-07	10.00000      1.4843237E+11
