 -0.6460352      -7.863876      -7.990731      -7.765821      0.0000000E+00	87236.00      7.8960706E+10
 -0.5401654      -7.500279      -7.556501      -7.450508      0.0000000E+00	90341.00      9.2392522E+10
 -0.4342957      -7.212523      -7.243754      -7.183389      0.0000000E+00	88434.00      1.0517377E+11
 -0.3284260      -7.133158      -7.161750      -7.106332      0.0000000E+00	80239.00      1.1596683E+11
 -0.2225563      -6.990719      -7.013398      -6.969167      0.0000000E+00	70103.00      1.2483176E+11
 -0.1166866      -6.860336      -6.878959      -6.842480      0.0000000E+00	59639.00      1.3188409E+11
 -1.0816833E-02  -6.816279      -6.834671      -6.798635      0.0000000E+00	48835.00      1.3929179E+11
  9.5052876E-02  -6.865720      -6.888063      -6.844470      0.0000000E+00	38312.00      1.4587886E+11
  0.2009226      -6.688725      -6.704990      -6.673047      0.0000000E+00	31333.00      1.5278578E+11
  0.3067923      -6.693118      -6.710925      -6.676013      0.0000000E+00	23654.00      1.5657699E+11
  0.4126620      -6.773275      -6.795722      -6.751932      0.0000000E+00	16907.00      1.6199642E+11
  0.5185317      -6.831273      -6.858352      -6.805783      0.0000000E+00	11762.00      1.6420299E+11
  0.6244015      -6.895833      -6.928759      -6.865230      0.0000000E+00	8057.000      1.6658907E+11
  0.7302712      -7.037222      -7.085596      -6.993701      0.0000000E+00	5330.000      1.6583649E+11
  0.8361409      -7.196419      -7.271096      -7.132719      0.0000000E+00	3553.000      1.6617864E+11
  0.9420106      -7.665965      -7.942509      -7.498353      0.0000000E+00	2274.000      1.6766134E+11
   1.047880      -8.230801      -30.00000      -30.00000      0.0000000E+00	1506.000      1.6717832E+11
   1.153750      -30.00000      -30.00000      -30.00000      0.0000000E+00	975.0000      1.6890557E+11
   1.259620      -30.00000      -30.00000      -30.00000      0.0000000E+00	688.0000      1.6820104E+11
   1.365489      -30.00000      -30.00000      -30.00000      0.0000000E+00	440.0000      1.6566519E+11
   1.471359      -30.00000      -30.00000      -30.00000      0.0000000E+00	321.0000      1.6802424E+11
   1.577229      -8.402443      -30.00000      -30.00000      0.0000000E+00	228.0000      1.6795266E+11
   1.683099      -30.00000      -30.00000      -30.00000      0.0000000E+00	149.0000      1.6722497E+11
   1.788968      -30.00000      -30.00000      -30.00000      0.0000000E+00	96.00000      1.6516610E+11
   1.894838      -30.00000      -30.00000      -30.00000      0.0000000E+00	71.00000      1.6466770E+11
   2.000708      -8.911437      -30.00000      -30.00000      0.0000000E+00	50.00000      1.6186479E+11
   2.106577      -7.223531      -7.441872      -7.078915      0.0000000E+00	52.00000      1.5882894E+11
   2.212447      -30.00000      -30.00000      -30.00000      0.0000000E+00	19.00000      1.5443265E+11
   2.318317      -8.167603      -30.00000      -30.00000      0.0000000E+00	17.00000      1.5273555E+11
   2.424187      -30.00000      -30.00000      -30.00000      1.0439792E-07	10.00000      1.4843237E+11
 
