"Cross-section(mass), created by Plot Digitizer, 2.6.6"
"Date: 8/10/15, 3:56:37 PM"


20
mass,Cross-section
280.586,-22.0834
318.547,-23.1127
351.140,-23.4907
378.260,-23.7164
419.238,-23.9264
483.530,-24.0995
538.891,-24.2097
643.096,-24.3355
763.032,-24.4088
926.178,-24.4663
1267.07,-24.5289
1618.70,-24.5076
2164.26,-24.4652
2733.50,-24.4334
3336.33,-24.3754
4165.71,-24.2805
5351.68,-24.2014
6644.05,-24.1014
7881.26,-24.0171
9509.75,-23.9171
