"Cross Section(Mass), created by Plot Digitizer, 2.6.6"
"Date: 8/21/15, 2:21:06 PM"


17
Mass,Cross Section
8.37786,-26.2117
8.42107,-26.1927
8.55183,-26.1762
8.75175,-26.1572
8.97934,-26.1406
9.16567,-26.1264
9.42813,-26.1193
9.67326,-26.1099
9.89927,-26.1099
9.95013,-26.1217
9.79801,-26.1360
9.67299,-26.1525
9.47633,-26.1691
9.18886,-26.1857
8.95599,-26.1975
8.72903,-26.2070
8.46430,-26.2117
