"Cross-section(Mass), created by Plot Digitizer, 2.6.6"
"Date: 8/18/15, 1:58:30 PM"


20
Mass,Cross-section
31.3283,-25.8446
31.5426,-25.8193
32.5269,-25.7940
33.2001,-25.7750
34.5888,-25.7560
36.0356,-25.7370
37.5429,-25.7180
38.7148,-25.7148
39.3815,-25.7117
39.2476,-25.7307
38.7153,-25.7465
37.9303,-25.7623
37.1611,-25.7750
36.5320,-25.7844
35.6692,-25.8003
34.8268,-25.8129
34.0041,-25.8224
33.3145,-25.8319
32.6389,-25.8383
31.5431,-25.8478
