"Cross-section(mass), created by Plot Digitizer, 2.6.6"
"Date: 8/10/15, 3:57:35 PM"


18
mass,Cross-section
147.393,-22.0317
170.969,-22.2101
190.550,-22.3413
230.019,-22.5143
282.444,-22.6769
350.809,-22.8709
438.178,-23.0177
547.250,-23.0962
664.254,-23.1485
858.412,-23.2007
1128.41,-23.2371
1652.85,-23.2523
2210.03,-23.2467
2938.20,-23.2253
4135.10,-23.1776
5560.26,-23.1247
7562.21,-23.0665
9770.97,-23.0084
