"Cross-section(mass), created by Plot Digitizer, 2.6.6"
"Date: 8/10/15, 3:54:27 PM"


11
mass,Cross-section
31.3053,-25.8468
31.3043,-25.8257
32.0248,-25.8047
34.4841,-25.7626
36.9220,-25.7310
39.0857,-25.7204
39.7610,-25.7467
37.7754,-25.7730
36.0943,-25.8046
33.5196,-25.8362
31.8449,-25.8467
