"Cross-section(mass), created by Plot Digitizer, 2.6.6"
"Date: 8/10/15, 3:55:17 PM"


17
mass,Cross-section
37.1422,-25.8938
37.1392,-25.8413
39.0891,-25.7782
41.8509,-25.7203
46.1024,-25.6624
53.4582,-25.6150
58.5600,-25.6201
64.8846,-25.6357
66.0109,-25.7145
62.3617,-25.7776
57.9160,-25.8407
52.8746,-25.8881
47.7241,-25.9197
43.5681,-25.9409
40.2291,-25.9515
38.0009,-25.9410
37.3549,-25.9043
