"Cross-section(mass), created by Plot Digitizer, 2.6.6"
"Date: 8/10/15, 3:49:51 PM"


9
mass,Cross-section
6.00447,-26.2953
10.0261,-26.2999
27.7846,-26.0570
119.353,-25.6087
255.955,-25.3398
746.361,-24.8658
2238.94,-24.2971
6490.22,-23.6812
9889.09,-23.4181
