8.075720870530361806e-01 5.998890513575073635e-01 4.684722617528421784e-01 3.297326071428744454e-01 2.227563768080910445e-01 1.436753095828719740e-01 8.639616304722538831e-02 4.815088644015794173e-02 2.469990102725454217e-02 1.156318560407438266e-02 4.325242114823498775e-03 1.138748041446764397e-03
8.337710181967192824e-01 6.232814575482097386e-01 4.905754538458078073e-01 3.479867729193867332e-01 2.371051768842254437e-01 1.545250412596228806e-01 9.395009029083685459e-02 5.300265044302861911e-02 2.755072663512368389e-02 1.322408980185175303e-02 5.168593017779405524e-03 1.465115979397821431e-03
8.406022015238076017e-01 6.465654827368320090e-01 5.127124331889564290e-01 3.665254574631048312e-01 2.517734171576702096e-01 1.657314049493888441e-01 1.018964119106929717e-01 5.813419518348856424e-02 3.063273584495554772e-02 1.501559034477878765e-02 6.111648144201902930e-03 1.848708733728759730e-03
8.863418782365816151e-01 6.697356183088688519e-01 5.348057032052353499e-01 3.852740968288600465e-01 2.667305486285380112e-01 1.772394897535635172e-01 1.102143373564802159e-01 6.354038251998185560e-02 3.395379097304494082e-02 1.693258704817034166e-02 7.159591950411632946e-03 2.293789171360665312e-03
8.923946379234177773e-01 6.928079462200882332e-01 5.568037736841858765e-01 4.041389981096000228e-01 2.819221990450783699e-01 1.890010938472345137e-01 1.188635101698654745e-01 6.922455475699755556e-02 3.751014171439377709e-02 1.897355809821775485e-02 8.315287268795240605e-03 2.804633158967158400e-03
9.398645662659944611e-01 7.158369809829906449e-01 5.786604541101993959e-01 4.230179820902069676e-01 2.973119430019698362e-01 2.009713803721366321e-01 1.277877242141664538e-01 7.519017137814509866e-02 4.128864385241382690e-02 2.114033655525646843e-02 9.577080357450008796e-03 3.385161847704112013e-03
9.672460990505004075e-01 7.389082014875116844e-01 6.003580237231254113e-01 4.417949936185768811e-01 3.128456683049530285e-01 2.131041926354357297e-01 1.369159421949914801e-01 8.143593323290486408e-02 4.526761421208051750e-02 2.344008447861528621e-02 1.093654906573750946e-02 4.039377742019194598e-03
9.987563491383290026e-01 7.672002047249117940e-01 6.275837832904139768e-01 4.556967263560381398e-01 3.323547989073164510e-01 2.283242496685707057e-01 1.481807889704729320e-01 8.924729640566406164e-02 5.023285537842367421e-02 2.635487317737924412e-02 1.259828401366103363e-02 4.881020947818488429e-03
1.030664232012141079e+00 7.963127558830090935e-01 6.557752850862177407e-01 4.901207583653055533e-01 3.529296012423848161e-01 2.445750895276414538e-01 1.602672349367087468e-01 9.774503903941321459e-02 5.566536271817427300e-02 2.963872309984265027e-02 1.443781175437741128e-02 5.857941057803117517e-03
1.062467530239487701e+00 8.256614547955639649e-01 6.842568923508435264e-01 5.154208230563661619e-01 3.741445934069907442e-01 2.615366009488486743e-01 1.729967641496728825e-01 1.067842797688026840e-01 6.151732177232984572e-02 3.326191311241045306e-02 1.644893564356286059e-02 6.964448131563849044e-03
